offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Courthouse y
1,0.9325862559999999,0,1,0.650083607,0,0,0,1,1,0,0,0,0,-1.161550969,-0.51641961,-1.44728829,-0.163486338,0.18571150399999997,801.0
1,-0.828878757,1,0,-1.372398725,0,1,0,0,0,0,0,0,1,0.058552495999999996,-0.631334878,1.572912589,-0.163486338,0.18571150399999997,225.0
1,-0.828878757,0,1,-1.372398725,0,0,1,0,0,0,0,0,1,0.854272147,0.920021236,-0.065162464,-0.163486338,-1.452963667,226.0
1,0.760436098,1,0,0.072231512,0,0,0,1,1,0,0,0,0,-1.373742875,-0.688792512,-1.498478135,-0.163486338,2.097499203,755.0
1,-0.862693967,1,0,-0.072231512,0,0,0,1,0,0,0,1,0,-1.373742875,-1.148453583,-0.9353898359999999,-0.163486338,2.370611731,218.0
1,1.685743199,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,1.3317039370000001,0.97747887,1.00982429,-0.163486338,-0.087401025,1072.0
1,-0.718210798,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,1.013416077,0.862563602,0.44673599,-0.163486338,-1.452963667,669.0
1,-0.810434097,1,0,-1.661324773,0,0,0,1,0,0,0,0,1,-1.373742875,-1.55065702,-0.218732,-0.163486338,0.18571150399999997,236.0
1,-0.841175197,0,1,-0.21669453600000002,1,0,0,0,0,0,0,1,0,-0.418879295,-0.114216173,-0.7818203,-0.163486338,-0.087401025,222.0
1,1.60274223,1,0,-1.372398725,0,0,1,0,0,0,0,0,1,1.3317039370000001,0.7476483340000001,1.572912589,-0.163486338,-0.087401025,1011.0
1,-0.755100118,1,0,-1.372398725,0,0,0,1,0,0,0,0,1,-0.949359062,-1.148453583,-0.013972618999999999,-0.163486338,-1.452963667,248.0
1,-0.6413580489999999,1,0,-1.661324773,0,0,1,0,0,0,0,0,1,1.4908478669999998,1.092394138,1.1633938259999999,0.08806664199999999,-1.452963667,277.0
1,0.726620888,0,1,1.083472678,0,0,0,1,0,0,1,0,0,-1.055455015,-0.286589075,-1.549667981,-0.163486338,-0.633626082,652.0
1,-0.791989437,1,0,-0.650083607,1,0,0,0,0,1,0,0,0,0.695128216,0.23052963,1.11220398,-0.163486338,-0.087401025,292.0
1,-0.8381010870000001,1,0,-0.21669453600000002,0,0,1,0,0,0,0,1,0,0.80122417,0.805105968,0.037217227,-0.163486338,-0.087401025,224.0
1,-0.733581348,1,0,1.516861749,0,1,0,0,0,0,0,0,1,-0.25973536399999997,-1.033538315,1.726482125,2.8551494230000003,1.551274146,244.0
