offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School2 y
1,-0.885905851,0,1,1.661324773,1,0,0,0,0,0,0,0,1,1.013416077,0.402902531,1.572912589,-0.163486338,-1.452963667,112
1,-0.57915838,0,1,1.372398725,0,0,1,0,0,0,0,0,1,0.9603681000000001,1.6095128419999998,-0.88419999,-0.163486338,-0.087401025,165
1,-0.749573642,1,0,1.227935701,0,0,1,0,0,0,0,0,1,0.589032263,0.517817799,0.13959691800000001,-0.163486338,1.0050490890000001,125
1,0.204751825,1,0,-0.505620583,1,0,0,0,0,0,0,1,0,0.21769642600000003,-0.05675854,0.497925836,-0.163486338,0.73193656,315
1,-1.01542145,1,0,0.650083607,0,0,0,1,1,0,0,0,0,-0.684119178,0.460360165,-1.8056172080000001,-0.163486338,0.45882403200000005,98
1,0.5387657379999999,1,0,1.083472678,0,0,0,1,0,0,1,0,0,-1.214598945,-1.148453583,-0.6282507629999999,-0.163486338,1.0050490890000001,309
1,0.968212198,1,0,0.072231512,0,0,0,1,1,0,0,0,0,-1.320694899,-1.148453583,-0.833010145,-0.163486338,-1.452963667,387
1,1.479457983,1,0,0.505620583,0,0,1,0,1,0,0,0,0,0.42988833299999996,1.092394138,-1.037769527,-0.163486338,0.18571150399999997,464
1,-1.001788229,1,0,1.372398725,0,0,1,0,0,0,0,0,1,1.3317039370000001,1.4371399409999999,0.037217227,-0.163486338,-0.087401025,93
1,-0.9199889040000001,1,0,-0.79454663,0,0,0,1,0,1,0,0,0,0.48293631,0.115614362,0.805064908,-0.163486338,0.73193656,105
1,-0.804106526,1,0,-1.516861749,1,0,0,0,0,0,0,0,1,-0.312783341,-0.51641961,0.190786763,-0.163486338,-0.633626082,120
1,0.961395587,1,0,0.505620583,0,0,0,1,1,0,0,0,0,-1.5859347819999998,-0.9186230470000001,-1.549667981,-0.163486338,0.45882403200000005,372
1,-0.885905851,1,0,1.516861749,0,1,0,0,0,0,0,0,1,-0.153639411,-0.746250146,1.1633938259999999,-0.163486338,0.18571150399999997,109
1,-0.9608885659999999,0,1,-1.516861749,0,1,0,0,0,0,0,0,1,-0.949359062,0.28798726399999997,-1.9591867440000001,-0.163486338,-1.452963667,99
1,-0.660957706,1,0,1.083472678,0,0,0,1,0,0,1,0,0,0.695128216,0.6901907009999999,0.037217227,-0.163486338,1.278161617,128
1,-0.626874653,1,0,-1.083472678,1,0,0,0,0,1,0,0,0,-0.684119178,-0.80370778,-0.116352309,-0.163486338,-1.452963667,152
1,-0.49735905399999997,0,1,-1.372398725,0,0,1,0,0,0,0,0,1,1.4908478669999998,1.207309405,0.856254753,-0.163486338,-0.360513553,182
1,0.518315906,1,0,0.79454663,1,0,0,0,0,0,1,0,0,0.695128216,0.058156728,1.572912589,0.842725583,0.45882403200000005,299
1,0.85914643,1,0,0.21669453600000002,0,1,0,0,1,0,0,0,0,-0.36583131799999996,-0.746250146,0.549115681,-0.163486338,1.278161617,370
1,1.6362400240000001,1,0,-0.21669453600000002,0,0,1,0,0,0,0,1,0,1.27865596,1.149851771,0.44673599,-0.163486338,0.45882403200000005,519
1,-0.565525159,0,1,-0.505620583,0,1,0,0,0,0,0,1,0,-2.063366573,-2.125233359,-0.6282507629999999,-0.163486338,-1.452963667,278
1,0.9068627029999999,1,0,0.650083607,0,0,0,1,1,0,0,0,0,-0.896311085,-0.401504343,-1.191339063,-0.163486338,1.551274146,367
1,0.443333191,1,0,1.227935701,0,0,0,1,0,0,0,0,1,-1.957270619,-1.837945189,-0.9353898359999999,-0.163486338,0.73193656,165
1,-0.347393624,1,0,-0.072231512,0,0,0,1,0,0,0,1,0,-1.055455015,-0.688792512,-1.037769527,-0.163486338,1.551274146,195
