offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Office y
1,2.282749634,1,0,0.79454663,0,0,1,0,0,0,1,0,0,0.907320123,1.8968010119999998,-1.2937187540000001,-0.163486338,0.18571150399999997,786
1,-1.001007725,0,1,-1.372398725,0,1,0,0,0,0,0,0,1,-0.949359062,-0.861165414,-0.5770609179999999,-0.163486338,-0.633626082,301
1,-0.8886358,1,0,-0.79454663,0,1,0,0,0,1,0,0,0,0.21769642600000003,-0.401504343,1.368153207,-0.163486338,-0.087401025,341
1,-0.364233484,1,0,-1.516861749,1,0,0,0,0,0,0,0,1,1.27865596,0.805105968,1.265773517,-0.163486338,-1.452963667,451
1,-0.66389195,1,0,1.661324773,0,0,0,1,0,0,0,0,1,-1.373742875,-1.378284118,-0.525871073,-0.163486338,-0.087401025,333
1,-0.476605409,0,1,1.516861749,0,0,0,1,0,0,0,0,1,-0.312783341,-0.746250146,0.7026852170000001,-0.163486338,0.73193656,344
1,0.416127105,0,1,-0.072231512,0,0,1,0,0,0,0,1,0,0.589032263,0.115614362,1.061014135,-0.163486338,-0.087401025,545
1,-0.8574213759999999,1,0,-1.516861749,1,0,0,0,0,0,0,0,1,0.111600473,-0.05675854,0.24197660899999998,-0.163486338,0.18571150399999997,323
1,-0.713835028,1,0,-0.21669453600000002,0,0,0,1,0,0,0,1,0,-1.479838829,-2.067775725,0.805064908,0.339619623,1.0050490890000001,347
1,0.047796907,0,1,-1.661324773,0,0,1,0,0,0,0,0,1,1.172560007,1.149851771,0.190786763,-0.163486338,0.73193656,474
1,-0.9822790709999999,0,1,-1.227935701,1,0,0,0,0,0,0,0,1,-0.047543458,-0.114216173,-0.013972618999999999,-0.163486338,1.278161617,303
1,-0.9573075320000001,0,1,-1.516861749,0,0,0,1,0,0,0,0,1,-0.47192727100000004,-0.861165414,0.549115681,-0.163486338,-0.087401025,308
1,0.16016883199999998,0,1,-1.661324773,0,0,1,0,0,0,0,0,1,1.5438958440000001,1.149851771,1.1633938259999999,-0.163486338,-1.452963667,487
1,-0.713835028,0,1,0.650083607,1,0,0,0,1,0,0,0,0,-0.10059143400000001,0.23052963,-0.730630454,-0.163486338,-0.633626082,339
1,-0.869907146,1,0,1.661324773,0,0,0,1,0,0,0,0,1,-1.4267908519999999,-1.033538315,-1.191339063,-0.163486338,2.64372426,314
1,-0.476605409,1,0,-0.505620583,0,1,0,0,0,0,0,1,0,-1.4267908519999999,-1.55065702,-0.32111169100000003,-0.163486338,0.73193656,431
1,-0.9011215690000001,1,0,0.36115755899999996,0,0,0,1,1,0,0,0,0,-1.320694899,-0.861165414,-1.242528908,-0.163486338,-0.633626082,312
1,-0.913607339,1,0,1.516861749,0,0,0,1,0,0,0,0,1,-0.684119178,0.058156728,-1.3960984440000002,-0.163486338,0.18571150399999997,312
1,-1.007250609,0,1,-1.227935701,0,1,0,0,0,0,0,0,1,-0.8432631079999999,-0.861165414,-0.372301536,-0.163486338,-0.087401025,303
1,2.850852143,0,1,0.79454663,0,0,1,0,0,0,1,0,0,1.013416077,1.954258645,-1.242528908,-0.163486338,-0.633626082,888
1,0.416127105,1,0,1.372398725,0,0,1,0,0,0,0,0,1,1.27865596,0.6901907009999999,1.572912589,0.591172603,-1.452963667,490
1,-0.613948873,0,1,1.661324773,0,0,0,1,0,0,0,0,1,-0.790215132,-0.861165414,-0.218732,-0.163486338,-0.633626082,342
1,0.665842493,1,0,0.650083607,0,1,0,0,1,0,0,0,0,-0.36583131799999996,0.517817799,-1.498478135,-0.163486338,0.18571150399999997,562
1,-0.670134835,0,1,-1.227935701,0,0,1,0,0,0,0,0,1,1.172560007,0.575275433,1.572912589,-0.163486338,-0.633626082,354
1,-1.0759223409999998,1,0,1.083472678,0,0,0,1,0,0,1,0,0,-1.532886806,-0.9760806809999999,-1.3960984440000002,-0.163486338,1.0050490890000001,285
1,-1.007250609,0,1,-1.661324773,1,0,0,0,0,0,0,0,1,-0.631071201,-0.51641961,-0.525871073,-0.163486338,0.45882403200000005,296
1,-0.838692722,1,0,-1.661324773,0,1,0,0,0,0,0,0,1,-2.75299027,-2.240148626,-1.7032375169999998,-0.163486338,0.45882403200000005,338
1,0.041554022,0,1,1.227935701,0,0,0,1,0,0,0,0,1,-0.47192727100000004,-1.148453583,1.368153207,0.591172603,0.45882403200000005,439
1,-0.707592143,1,0,-1.661324773,0,1,0,0,0,0,0,0,1,-1.745078712,-1.378284118,-1.242528908,-0.163486338,-0.633626082,347
1,-0.919850223,1,0,-1.227935701,0,1,0,0,0,0,0,0,1,0.21769642600000003,-0.05675854,0.497925836,-0.163486338,-0.087401025,317
1,0.31624095,1,0,0.21669453600000002,0,0,0,1,1,0,0,0,0,-1.851174666,-1.493199386,-1.242528908,-0.163486338,1.0050490890000001,516
1,-0.869907146,0,1,-0.79454663,1,0,0,0,0,1,0,0,0,0.589032263,0.0006990939999999999,1.4193430530000002,-0.163486338,1.0050490890000001,335
1,1.49614616,1,0,-0.21669453600000002,0,0,1,0,0,0,0,1,0,1.27865596,1.149851771,0.44673599,-0.163486338,0.45882403200000005,792
1,-0.8012354140000001,1,0,-0.505620583,0,0,0,1,0,0,0,1,0,-2.010318596,-2.010318091,-0.730630454,-0.163486338,1.0050490890000001,350
1,-0.21440425100000002,1,0,1.372398725,0,0,0,1,0,0,0,0,1,-2.43470241,-2.125233359,-1.344908599,-0.163486338,1.0050490890000001,400
1,-1.038465033,0,1,-1.227935701,0,0,0,1,0,0,0,0,1,-0.10059143400000001,-0.458961977,0.600305526,-0.163486338,-0.633626082,291
1,1.421231544,0,1,-0.505620583,0,0,1,0,0,0,0,1,0,1.756087751,1.552055208,0.753875063,-0.163486338,0.18571150399999997,700
1,1.951876744,0,1,0.79454663,0,0,1,0,0,0,1,0,0,0.42988833299999996,0.920021236,-0.833010145,-0.163486338,-1.452963667,768
1,-0.713835028,1,0,0.21669453600000002,0,0,0,1,1,0,0,0,0,-0.047543458,-0.746250146,1.572912589,-0.163486338,-1.452963667,342
