offset,PDemand Feature,Day1,Day2,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School1 y
1,-1.017654723,0,1,0,1,0,0,0,0,0,0,1,-0.153639411,-0.286589075,0.08840707199999999,-0.163486338,-0.087401025,-1.029246358
1,-1.348574731,0,0,0,0,0,1,0,1,0,0,0,-1.108502992,-1.205911217,-0.269921846,-0.163486338,-0.633626082,-1.336511288
1,-0.7694647170000001,0,0,0,0,0,1,0,0,0,1,0,0.48293631,0.115614362,0.805064908,-0.163486338,-1.452963667,-0.639256255
1,-1.171296155,0,0,0,0,0,1,0,1,0,0,0,-1.4267908519999999,-1.205911217,-0.9353898359999999,-0.163486338,-1.452963667,-1.1474251770000001
1,0.837861038,0,0,0,0,1,0,0,0,1,0,0,0.64208024,0.058156728,1.4193430530000002,-0.163486338,-1.452963667,0.7552538120000001
1,-1.301300444,0,0,0,0,0,1,0,1,0,0,0,-1.161550969,-0.9760806809999999,-0.7818203,-0.163486338,0.45882403200000005,-1.301057642
1,-1.100384725,0,0,0,0,0,1,0,1,0,0,0,-0.8432631079999999,-0.9760806809999999,-0.116352309,-0.163486338,-0.633626082,-1.10015365
1,-1.005836151,0,0,0,0,0,1,0,0,0,0,1,-0.524975248,-0.80370778,0.29316645399999997,-0.163486338,-1.452963667,-0.9937927120000001
1,0.495122458,1,0,1,0,0,0,0,0,0,0,1,-0.418879295,-0.17167380699999998,-0.679440609,-0.163486338,-0.633626082,0.44798888200000003
1,1.145143903,0,0,0,0,1,0,1,0,0,0,0,0.64208024,0.173071996,1.11220398,0.339619623,-0.633626082,1.121608151
1,0.21147673600000003,0,0,0,0,0,1,1,0,0,0,0,-2.275558479,-1.8954028230000002,-1.3960984440000002,-0.163486338,0.18571150399999997,0.093452424
1,-1.254026158,1,0,1,0,0,0,0,1,0,0,0,-0.524975248,-0.51641961,-0.32111169100000003,-0.163486338,-0.087401025,-1.2183324690000001
1,-1.206751871,0,0,0,0,0,1,0,0,0,0,1,-1.0024070379999999,-0.861165414,-0.679440609,-0.163486338,0.45882403200000005,-1.206514587
1,-1.041291866,0,0,0,0,0,1,0,1,0,0,0,-0.153639411,-0.688792512,1.061014135,-0.163486338,2.370611731,-1.04106424
1,-0.23762898899999998,0,0,0,0,0,1,0,0,1,0,0,-0.790215132,-1.493199386,1.368153207,0.339619623,-0.087401025,-0.24926615100000002
1,0.471485314,0,0,0,0,0,1,0,0,0,1,0,-1.267646922,-0.9186230470000001,-1.088959372,-0.163486338,0.45882403200000005,0.424353118
1,1.712435346,1,0,1,0,0,0,0,0,0,1,0,1.225607984,1.322224673,-0.013972618999999999,-0.163486338,-1.452963667,1.759773775
1,-0.332177563,1,0,1,0,0,0,0,1,0,0,0,0.64208024,0.058156728,1.4193430530000002,-0.163486338,-0.087401025,-0.154723096
1,-1.159477584,0,0,0,0,1,0,0,0,1,0,0,1.596943821,1.034936504,1.624102434,4.867573264,-1.452963667,-1.206514587
1,-0.639460428,0,0,0,0,0,1,0,0,0,1,0,-1.6389827590000001,-1.608114654,-0.679440609,-0.163486338,-0.087401025,-0.048362159
1,-1.053110438,0,0,0,0,1,0,0,1,0,0,0,1.3317039370000001,0.6901907009999999,1.726482125,5.622232205,0.18571150399999997,0.31799218100000004
1,0.5187596010000001,1,0,1,0,0,0,1,0,0,0,0,0.589032263,0.6901907009999999,-0.167542155,-0.163486338,-0.087401025,0.507078292
1,-0.7812832890000001,0,1,0,1,0,0,0,0,0,0,1,0.64208024,0.28798726399999997,0.805064908,-0.163486338,-0.087401025,-0.781070838
1,0.625126747,0,1,0,1,0,0,0,0,1,0,0,-0.206687388,-0.286589075,-0.065162464,-0.163486338,1.0050490890000001,0.554349819
1,-1.230389014,1,0,1,0,0,0,0,1,0,0,0,-0.047543458,-0.631334878,1.214583671,-0.163486338,0.18571150399999997,-1.241968233
1,-1.088566153,0,0,0,0,0,1,0,0,0,0,1,-1.055455015,-0.80370778,-0.88419999,-0.163486338,0.18571150399999997,-1.076517886
1,1.511519626,0,1,0,1,0,0,1,0,0,0,0,0.695128216,1.4371399409999999,-1.088959372,-0.163486338,0.18571150399999997,1.4643267269999998
1,-0.40308899299999995,1,0,1,0,0,0,0,1,0,0,0,-0.47192727100000004,-0.51641961,-0.218732,-0.163486338,-1.452963667,-0.308355561
1,-0.474000424,0,0,0,0,0,1,1,0,0,0,0,-0.8432631079999999,-0.401504343,-1.088959372,-0.163486338,0.18571150399999997,-0.461988026
1,-0.261266133,0,0,0,0,0,1,0,0,0,0,1,-0.47192727100000004,-0.458961977,-0.32111169100000003,-0.163486338,0.45882403200000005,-0.958339067
1,-0.556730426,0,0,0,0,0,1,1,0,0,0,0,-1.214598945,-1.033538315,-0.833010145,-0.163486338,2.097499203,-0.556531081
1,-0.36763327799999995,1,0,1,0,0,0,1,0,0,0,0,-0.737167155,-0.631334878,-0.5770609179999999,-0.163486338,0.73193656,-0.391080734
1,-0.8876504340000001,1,0,1,0,0,0,0,0,1,0,0,-0.631071201,-0.688792512,-0.218732,-0.163486338,2.097499203,-0.911067539
1,-0.615823284,1,0,1,0,0,0,0,0,0,0,1,0.695128216,0.23052963,1.11220398,-0.163486338,-0.633626082,-0.6747099
1,-0.99401758,1,0,1,0,0,0,0,0,0,0,1,0.111600473,-0.17167380699999998,0.497925836,-0.163486338,-1.452963667,-0.98197483
1,0.64876389,0,0,0,0,1,0,0,1,0,0,0,0.854272147,0.7476483340000001,0.29316645399999997,-0.163486338,-0.633626082,0.8734326309999999
1,-0.9703804359999999,0,0,0,0,1,0,0,1,0,0,0,1.5438958440000001,1.149851771,1.1633938259999999,-0.163486338,-0.087401025,0.731618048
1,0.223295308,1,0,1,0,0,0,0,0,0,1,0,0.376840356,0.28798726399999997,0.13959691800000001,-0.163486338,-0.633626082,0.365263709
1,1.405152481,1,0,1,0,0,0,1,0,0,0,0,0.9603681000000001,1.4371399409999999,-0.679440609,-0.163486338,-0.087401025,1.1570617970000001
1,-1.206751871,1,0,1,0,0,0,0,1,0,0,0,-0.418879295,-0.9760806809999999,1.061014135,-0.163486338,-1.452963667,-1.194696705
1,-0.36763327799999995,0,0,0,0,0,1,0,0,1,0,0,-0.631071201,0.402902531,-1.7032375169999998,-0.163486338,0.73193656,-0.355627089
1,-0.261266133,0,0,0,0,0,1,0,0,1,0,0,-0.312783341,0.115614362,-0.9353898359999999,-0.163486338,-0.90673861,-0.37926285200000004
1,-0.414907565,0,0,0,0,0,1,0,0,1,0,0,0.058552495999999996,-0.688792512,1.777671971,-0.163486338,0.18571150399999997,-0.42653438
1,1.062413901,0,0,0,0,1,0,1,0,0,0,0,1.013416077,1.092394138,-0.013972618999999999,-0.163486338,0.73193656,0.99161145
1,1.889713921,0,0,0,0,1,0,0,0,0,1,0,-0.10059143400000001,0.28798726399999997,-0.833010145,-0.163486338,0.73193656,1.8779525940000001
1,-0.36763327799999995,0,0,0,0,0,1,1,0,0,0,0,-1.161550969,-1.148453583,-0.525871073,-0.163486338,0.73193656,-0.355627089
1,-0.698553286,1,0,1,0,0,0,0,0,0,0,1,-0.8432631079999999,-0.573877244,-0.833010145,-0.163486338,0.73193656,-0.781070838
